h_dormir,h_alimentarse,h_cuipersonal,h_estudio,h_domesticas,h_ocio,h_medico,sexo,edad,educ_in,anio_ed,publ,trabaja_rem,hijos,celular,log_ing,AFAM_h,aniosed_h,act,inact,servdom_pag,tv,tv_abon,compu,disc_h,mdeo
8,1.5,.5,0,.5,2,0,1,16,1,2,1,0,0,1,9.531703683346786,1,6.5,3,2,0,1,0,1,0,0
12,1,.3333333432674408,0,2,0,0,0,15,1,2,1,0,0,1,9.531703683346786,1,6.5,3,2,0,1,0,1,0,0
8,1.5,.3333333432674408,0,0,3,0,1,14,1,1,1,0,0,0,9.531703683346786,1,6.5,3,2,0,1,0,1,0,0
15,.5,.4833333194255829,0,0,4,0,1,14,1,2,1,0,0,1,10.67614383688992,0,7,1,2,0,1,1,1,0,0
8,1,2,4,1,1,0,0,22,1,2,1,1,0,1,9.126958763037132,0,7.5,0,2,0,1,1,0,0,0
6,1.5,1.5,2.5,0,2,0,1,46,1,5,1,1,0,1,10.29182967323748,0,10,0,2,0,1,0,1,0,0
6,.5,.6666666865348816,7,0,0,0,0,16,1,3,1,0,0,1,10.78783102136416,1,6.6,4,4,0,1,1,1,0,0
6,.75,.25,0,0,0,14,1,16,1,2,1,0,0,1,10.78783102136416,1,6.6,4,4,0,1,1,1,0,0
6,2,.5,3,0,0,0,0,16,1,4,0,0,0,1,11.28552009499444,1,8.25,1,5,0,1,1,1,0,0
8,1,.1666666716337204,5,0,0,0,1,15,1,2,1,0,0,0,9.517611078240936,1,9,1,2,0,1,1,1,0,1
8,2,1,0,0,2,0,1,17,1,2,1,0,0,0,10.1439787917976,1,9,2,2,0,1,0,1,0,0
9,1,.5,4,0,0,0,0,16,1,4,1,0,0,1,10.23353501498373,1,7.5,1,3,0,1,1,1,0,0
7,.5,.5,0,1,0,0,0,14,1,3,1,0,0,1,10.16313273904401,0,9,3,1,0,1,1,1,0,0
8,1,.5,5,.25,0,0,0,14,1,2,1,0,0,1,10.13291611174543,1,5,3,1,0,1,0,1,0,0
10,1,1,7,0,0,0,0,15,1,1,1,0,0,0,9.875255245111191,1,7.5,2,1,0,1,1,1,0,0
6,.25,.1666666716337204,3,8,0,0,0,36,0,2,1,1,1,1,10.80071105464304,1,9,1,6,0,1,1,1,0,0
10,.3333333432674408,0,5,1,.5,0,1,15,1,2,1,0,0,1,10.80071105464304,1,9,1,6,0,1,1,1,0,0
